,Material Level 2,Ship To State,Date,ASP
5,LVL,South Dakota,2019.09.12,19.75
8,LVL,Montana,2019.12.13,19.58
12,LVL,Virginia,2019.08.06,19.34
15,LVL,Tennessee,2019.01.27,22.58
21,LVL,Oregon,2019.01.29,26.43
24,LVL,Utah,2019.08.21,20.25
28,LVL,Alberta,2019.11.02,20.46
30,LVL,California,2019.01.21,26.19
33,LVL,Texas,2019.01.01,20.13
38,LVL,Washington,2019.06.29,25.86
39,LVL,North Carolina,2019.12.05,22.59
55,LVL,Tennessee,2019.11.24,23.25
57,LVL,Indiana,2019.07.30,22.78
62,LVL,Georgia,2019.03.30,22.58
69,LVL,South Carolina,2019.02.14,22.24
105,LVL,Utah,2019.02.01,19.59
107,LVL,California,2019.04.10,23.28
112,LVL,Illinois,2019.03.15,19.83
126,LVL,Alberta,2019.12.19,20.47
140,LVL,Alabama,2019.07.17,21.94
145,LVL,Wisconsin,2019.03.30,21.41
155,LVL,California,2019.11.08,25.18
163,LVL,Alabama,2019.10.20,21.91
164,LVL,South Carolina,2019.08.28,22.64
171,LVL,Wisconsin,2019.12.07,20.84
186,LVL,Pennsylvania,2019.04.11,21.5
190,LVL,British Columbia,2019.09.04,17.66
213,LVL,Georgia,2019.10.25,20.07
214,LVL,Wisconsin,2019.02.06,21.87
227,LVL,North Carolina,2019.08.14,23.49
230,LVL,California,2019.10.22,22.72
232,LVL,West Virginia,2019.06.26,22.73
245,LVL,Georgia,2019.08.14,21.65
252,LVL,Massachusetts,2019.11.17,22.12
257,LVL,Manitoba,2019.09.01,20.52
261,LVL,Utah,2019.05.08,21.97
267,LVL,California,2019.08.22,23.19
269,LVL,Georgia,2019.04.12,20.38
275,LVL,Tennessee,2019.02.15,12.64
276,LVL,Idaho,2019.02.22,19.8
283,LVL,Arizona,2019.12.23,19.78
285,LVL,Alabama,2019.11.01,21.7
286,LVL,Michigan,2019.01.01,22.43
292,LVL,North Carolina,2019.08.14,22.79
303,LVL,Virginia,2019.07.02,20.15
311,LVL,Quebec,2019.08.31,5.05
312,LVL,Wisconsin,2019.01.24,22.04
316,LVL,Georgia,2019.11.23,21.55
334,LVL,Pennsylvania,2019.05.15,18.38
342,LVL,British Columbia,2019.08.08,20.59
344,LVL,South Carolina,2019.10.16,22.16
346,LVL,Illinois,2019.08.21,19.9
352,LVL,Ohio,2019.08.21,21.0
387,LVL,Utah,2019.02.07,20.11
393,LVL,British Columbia,2019.12.08,20.63
397,LVL,Wisconsin,2019.02.24,21.68
401,LVL,Alabama,2019.04.16,21.67
427,LVL,Quebec,2019.07.15,17.46
428,LVL,Alberta,2019.10.30,20.62
437,LVL,Tennessee,2019.10.23,20.22
442,LVL,Georgia,2019.03.09,22.48
449,LVL,South Carolina,2019.10.01,22.49
457,LVL,Alabama,2019.08.30,20.91
458,LVL,Georgia,2019.05.30,20.31
467,LVL,Indiana,2019.04.23,20.63
471,LVL,Alabama,2019.08.29,22.15
476,LVL,Utah,2019.06.05,20.08
485,LVL,California,2019.10.15,19.6
514,LVL,North Carolina,2019.08.07,22.35
518,LVL,Minnesota,2019.05.13,19.62
532,LVL,Pennsylvania,2019.06.22,23.18
535,LVL,North Carolina,2019.08.03,21.62
554,LVL,Ohio,2019.08.21,21.09
558,LVL,Victoria,2019.04.01,19.55
567,LVL,Massachusetts,2019.08.04,15.09
573,LVL,Quebec,2019.12.26,18.38
584,LVL,Utah,2019.05.24,23.14
586,LVL,Michigan,2019.02.02,22.8
587,LVL,Manitoba,2019.02.24,19.89
590,LVL,Ohio,2019.03.18,21.24
603,LVL,Michigan,2019.09.22,22.42
604,LVL,Utah,2019.02.10,18.83
616,LVL,New York,2019.12.18,22.0
646,LVL,Pennsylvania,2019.05.08,22.73
651,LVL,Georgia,2019.09.20,21.88
658,LVL,Ohio,2019.01.06,20.9
667,LVL,Victoria,2019.07.06,19.35
668,LVL,Washington,2019.04.07,28.02
670,LVL,Florida,2019.02.15,22.48
674,LVL,Georgia,2019.12.07,21.22
679,LVL,Indiana,2019.09.24,21.27
686,LVL,Oklahoma,2019.07.29,18.33
688,LVL,Georgia,2019.12.11,21.24
696,LVL,Alberta,2019.10.16,20.35
701,LVL,Nebraska,2019.11.05,20.81
702,LVL,Iowa,2019.01.11,20.97
705,LVL,Alberta,2019.12.19,22.03
716,LVL,Illinois,2019.03.24,3.61
719,LVL,Georgia,2019.10.10,21.6
731,LVL,North Carolina,2019.07.27,21.19
746,LVL,Nebraska,2019.09.29,19.27
761,LVL,Maryland,2019.04.06,22.25
762,LVL,Alabama,2019.09.05,21.05
767,LVL,Alabama,2019.03.21,21.66
771,LVL,Colorado,2019.04.12,17.74
785,LVL,Victoria,2019.03.21,19.47
790,LVL,Tennessee,2019.02.15,22.88
794,LVL,Nova Scotia,2019.05.13,20.95
798,LVL,Texas,2019.12.31,20.07
821,LVL,Virginia,2019.07.06,21.46
823,LVL,Texas,2019.08.24,16.99
829,LVL,Utah,2019.11.05,19.04
833,LVL,British Columbia,2019.06.12,20.8
834,LVL,Michigan,2019.04.26,21.88
842,LVL,Florida,2019.02.08,22.53
848,LVL,Pennsylvania,2019.02.25,22.58
875,LVL,Missouri,2019.09.26,19.13
877,LVL,Arizona,2019.10.01,19.82
881,LVL,Wisconsin,2019.12.16,21.77
883,LVL,Georgia,2019.05.15,21.45
888,LVL,Ontario,2019.06.26,21.05
893,LVL,Nebraska,2019.08.03,19.32
896,LVL,Texas,2019.05.07,19.43
899,LVL,British Columbia,2019.01.15,17.55
902,LVL,Virginia,2019.08.30,22.37
906,LVL,Wisconsin,2019.06.01,21.75
916,LVL,Michigan,2019.03.17,22.73
920,LVL,North Carolina,2019.08.17,21.06
933,LVL,Utah,2019.11.05,19.08
948,LVL,Alabama,2019.06.13,22.03
957,LVL,Ohio,2019.05.31,21.33
966,LVL,Ohio,2019.07.17,22.48
970,LVL,Michigan,2019.07.26,22.36
975,LVL,Georgia,2019.01.16,23.09
977,LVL,Mississippi,2019.03.03,17.74
986,LVL,Washington,2019.07.23,27.93
992,LVL,Ohio,2019.05.15,22.81
998,LVL,Wisconsin,2019.11.05,21.5
1006,LVL,Indiana,2019.10.27,20.86
1008,LVL,California,2019.07.13,22.39
1020,LVL,Manitoba,2019.09.01,20.59
1021,LVL,Virginia,2019.05.01,21.46
1025,LVL,Victoria,2019.11.29,18.63
1031,LVL,Wisconsin,2019.03.30,21.81
1034,LVL,Kentucky,2019.02.06,23.0
1043,LVL,Massachusetts,2019.12.08,22.41
1053,LVL,Quebec,2019.06.07,18.53
1054,LVL,Tennessee,2019.06.02,22.58
1056,LVL,Maryland,2019.07.16,21.79
1062,LVL,Texas,2019.11.26,19.49
1075,LVL,Michigan,2019.11.01,21.91
1084,LVL,Victoria,2019.07.06,19.34
1087,LVL,North Carolina,2019.10.18,22.49
1089,LVL,Georgia,2019.07.18,20.45
1098,LVL,Ohio,2019.10.23,21.07
1102,LVL,Quebec,2019.07.20,18.63
1108,LVL,Texas,2019.11.26,19.32
1110,LVL,Quebec,2019.08.11,18.31
1113,LVL,Ontario,2019.07.30,16.91
1128,LVL,Idaho,2019.06.05,19.13
1133,LVL,Georgia,2019.03.20,22.98
1135,LVL,North Carolina,2019.02.22,21.2
1172,LVL,Indiana,2019.05.11,24.58
1182,LVL,Pennsylvania,2019.10.03,22.68
1185,LVL,Wisconsin,2019.08.02,21.41
1187,LVL,Ontario,2019.08.10,15.49
1191,LVL,Maryland,2019.05.18,22.99
1199,LVL,Tennessee,2019.10.02,23.77
1211,LVL,Alberta,2019.11.06,29.77
1214,LVL,Wisconsin,2019.03.04,21.57
1215,LVL,California,2019.10.03,26.56
1216,LVL,Pennsylvania,2019.11.27,22.5
1217,LVL,Wisconsin,2019.11.05,21.78
1226,LVL,North Carolina,2019.12.12,22.18
1228,LVL,North Carolina,2019.06.28,20.59
1232,LVL,Pennsylvania,2019.02.01,21.35
1236,LVL,Arizona,2019.02.08,20.11
1252,LVL,Nebraska,2019.10.21,19.53
1257,LVL,Wisconsin,2019.12.07,21.52
1265,LVL,Michigan,2019.05.04,22.93
1271,LVL,Georgia,2019.05.01,21.42
1273,LVL,Utah,2019.04.12,21.24
1274,LVL,Wisconsin,2019.09.29,21.91
1279,LVL,Massachusetts,2019.05.08,18.93
1280,LVL,Arizona,2019.01.18,20.71
1290,LVL,Georgia,2019.02.12,22.25
1292,LVL,Maryland,2019.04.09,21.57
1297,LVL,Florida,2019.07.24,21.2
1298,LVL,Georgia,2019.06.13,21.78
1302,LVL,South Carolina,2019.11.06,22.25
1316,LVL,California,2019.05.28,28.62
1319,LVL,California,2019.01.03,29.1
1332,LVL,Alabama,2019.11.20,22.77
1334,LVL,Georgia,2019.03.16,20.35
1338,LVL,Utah,2019.07.10,18.9
1345,LVL,Quebec,2019.11.20,17.01
1347,LVL,Georgia,2019.06.20,20.38
1354,LVL,Manitoba,2019.11.20,20.67
1356,LVL,South Carolina,2019.09.24,20.31
1362,LVL,Ohio,2019.06.12,20.63
1367,LVL,British Columbia,2019.10.01,22.37
1369,LVL,Ohio,2019.11.20,21.08
1372,LVL,Indiana,2019.03.11,25.07
1385,LVL,North Carolina,2019.04.10,21.59
1388,LVL,Illinois,2019.02.15,3.62
1391,LVL,North Carolina,2019.08.27,23.09
1393,LVL,Utah,2019.08.21,19.76
1404,LVL,Maryland,2019.10.05,21.41
1407,LVL,Utah,2019.12.07,19.06
1408,LVL,Tennessee,2019.02.09,23.59
1417,LVL,Oklahoma,2019.12.16,17.93
1428,LVL,Tennessee,2019.06.23,22.58
1434,LVL,Mississippi,2019.02.27,17.77
1440,LVL,Ohio,2019.09.21,21.01
1454,LVL,Alberta,2019.08.10,20.42
1463,LVL,South Carolina,2019.09.16,23.9
1469,LVL,Minnesota,2019.04.25,19.39
1486,LVL,Victoria,2019.05.15,19.18
1488,LVL,Oregon,2019.12.12,-5.73
1489,LVL,Indiana,2019.06.03,25.07
1496,LVL,Victoria,2019.03.12,1.55
1497,LVL,Manitoba,2019.07.05,21.23
1509,LVL,Wisconsin,2019.11.01,21.9
1535,LVL,Alberta,2019.10.16,20.99
1536,LVL,California,2019.07.18,25.11
1558,LVL,Michigan,2019.03.31,22.41
1563,LVL,Idaho,2019.02.01,21.45
1567,LVL,Wisconsin,2019.07.16,21.66
1568,LVL,North Carolina,2019.12.02,21.57
1570,LVL,Florida,2019.08.28,20.45
1571,LVL,Colorado,2019.10.03,17.94
1593,LVL,Idaho,2019.02.14,19.02
1597,LVL,Utah,2019.08.21,20.09
1598,LVL,Utah,2019.07.10,19.66
1616,LVL,Alabama,2019.09.05,21.0
1617,LVL,Indiana,2019.04.08,25.07
1618,LVL,Ontario,2019.07.26,21.21
1619,LVL,Ohio,2019.10.17,22.27
1620,LVL,South Carolina,2019.07.04,22.33
1621,LVL,South Carolina,2019.11.19,22.07
1623,LVL,Nova Scotia,2019.04.11,20.49
1624,LVL,Florida,2019.02.14,22.19
1625,LVL,Tennessee,2019.03.31,22.55
1631,LVL,Wisconsin,2019.01.04,21.6
1636,LVL,Pennsylvania,2019.02.02,22.81
1643,LVL,Wisconsin,2019.09.07,21.91
1649,LVL,North Carolina,2019.08.10,22.95
1656,LVL,Illinois,2019.05.21,21.7
1660,LVL,Pennsylvania,2019.11.13,22.43
1662,LVL,North Carolina,2019.04.25,21.7
1664,LVL,California,2019.03.02,18.84
1667,LVL,Arizona,2019.06.28,20.71
1672,LVL,Alabama,2019.03.27,22.51
1673,LVL,Wisconsin,2019.09.29,21.57
1681,LVL,South Carolina,2019.08.02,23.55
1683,LVL,British Columbia,2019.11.05,27.41
1717,LVL,Wisconsin,2019.01.24,21.7
1720,LVL,Indiana,2019.09.02,3.73
1722,LVL,Colorado,2019.03.28,11.07
1732,LVL,Mississippi,2019.03.15,17.75
1738,LVL,Indiana,2019.12.14,20.61
1746,LVL,North Carolina,2019.12.12,21.46
1754,LVL,Ohio,2019.02.02,21.02
1775,LVL,South Carolina,2019.09.04,21.77
1780,LVL,South Carolina,2019.10.12,22.58
1785,LVL,Alabama,2019.12.22,21.83
1793,LVL,Washington,2019.06.28,31.34
1797,LVL,Wisconsin,2019.09.05,21.49
1802,LVL,North Carolina,2019.10.02,21.16
1827,LVL,North Carolina,2019.02.21,22.25
1846,LVL,Ontario,2019.09.28,21.04
1851,LVL,Indiana,2019.09.02,3.66
1872,LVL,Florida,2019.12.20,23.25
1887,LVL,Manitoba,2019.12.12,21.12
1907,LVL,Wisconsin,2019.02.19,21.91
1909,LVL,Georgia,2019.03.20,22.69
1911,LVL,Ontario,2019.05.29,20.61
1913,LVL,Texas,2019.11.02,20.61
1916,LVL,North Carolina,2019.10.10,22.52
1925,LVL,Manitoba,2019.07.05,29.87
1927,LVL,British Columbia,2019.03.21,21.36
1941,LVL,Alabama,2019.03.27,22.24
1951,LVL,South Carolina,2019.11.05,22.43
1952,LVL,Ohio,2019.07.12,20.94
1967,LVL,Victoria,2019.03.12,-0.22
1971,LVL,Georgia,2019.11.17,20.24
1997,LVL,Pennsylvania,2019.02.17,23.16
2005,LVL,Georgia,2019.08.09,23.57
2013,LVL,Tennessee,2019.01.27,22.61
2016,LVL,North Carolina,2019.08.19,22.81
2023,LVL,Idaho,2019.08.09,19.21
2028,LVL,North Carolina,2019.02.01,23.86
2035,LVL,Washington,2019.08.14,26.25
2037,LVL,Tennessee,2019.12.08,-10.1
2043,LVL,Florida,2019.01.22,22.58
2044,LVL,Texas,2019.09.10,22.59
2047,LVL,Washington,2019.06.01,25.58
2056,LVL,Indiana,2019.09.28,3.75
2072,LVL,Arkansas,2019.12.19,-22.08
2073,LVL,Georgia,2019.09.25,21.51
2081,LVL,Pennsylvania,2019.02.23,9.23
2092,LVL,Wisconsin,2019.06.20,21.69
2094,LVL,North Carolina,2019.09.25,21.36
2098,LVL,Georgia,2019.12.06,21.6
2102,LVL,Idaho,2019.08.28,19.11
2105,LVL,Texas,2019.01.01,19.7
2110,LVL,Wisconsin,2019.06.01,21.83
2113,LVL,British Columbia,2019.10.31,21.23
2118,LVL,Utah,2019.12.14,19.13
2120,LVL,Wisconsin,2019.12.25,20.72
2123,LVL,Indiana,2019.01.20,22.43
2127,LVL,Ontario,2019.09.28,21.17
2133,LVL,Massachusetts,2019.09.25,22.27
2135,LVL,Texas,2019.06.16,19.49
2142,LVL,Florida,2019.05.03,21.51
2143,LVL,Massachusetts,2019.11.13,22.35
2144,LVL,Washington,2019.08.08,25.76
2150,LVL,Michigan,2019.01.06,22.78
2163,LVL,North Carolina,2019.10.02,15.46
2175,LVL,Quebec,2019.01.06,21.25
2180,LVL,Georgia,2019.02.17,22.06
2195,LVL,Massachusetts,2019.12.18,22.16
2198,LVL,Tennessee,2019.11.08,20.85
2207,LVL,British Columbia,2019.11.22,20.47
2215,LVL,Alabama,2019.06.12,21.5
2216,LVL,Alabama,2019.03.27,21.77
2224,LVL,Georgia,2019.03.20,22.12
2226,LVL,Tennessee,2019.06.02,22.93
2256,LVL,Alabama,2019.10.18,20.86
2261,LVL,Georgia,2019.08.30,20.38
2264,LVL,Pennsylvania,2019.06.26,22.7
2293,LVL,Alabama,2019.05.30,21.77
