Ship To State,Mill_Amount_in_SC
Alabama,4313991.799999995
Alberta,4719897.359999988
Arizona,3699622.8799999985
Arkansas,285515.7
British Columbia,4791802.520000002
California,10485643.990000008
Colorado,2854811.91
Florida,3476270.3999999976
Georgia,9099662.880000021
Idaho,3341549.100000001
Illinois,1511220.06
Indiana,4287368.410000006
Iowa,1080958.4
Kansas,243050.2
Kentucky,1084951.5600000005
Louisiana,133595.09999999998
Manitoba,2163335.0799999996
Maryland,3000285.0999999996
Massachusetts,4148233.079999998
Michigan,3120883.6500000004
Minnesota,965351.44
Mississippi,171711.3
Missouri,449046.70000000007
Montana,489908.80000000005
Nebraska,727759.2699999999
Nevada,23205.6
New Brunswick,313716.28999999986
New Jersey,100498.40000000002
New South Wales,531161.14
New York,1319112.6
North Carolina,8422632.899999991
Nova Scotia,651823.0599999998
Ohio,3320962.599999999
Oklahoma,2036131.800000001
Ontario,4857660.049999995
Oregon,1250023.1000000003
Pennsylvania,6111040.490000002
Quebec,5836830.879999999
Queensland,78367.58
Saskatchewan,358795.18999999994
South Carolina,5426200.7399999965
South Dakota,1394582.7200000002
Tennessee,5575092.990000007
Texas,4604066.640000003
Utah,5392778.420000004
Victoria,3749682.980000001
Virginia,1408386.9699999986
Washington,3493315.6
West Virginia,226078.4
Wisconsin,7533266.520000004
