category_code,cell_value,data_type_code,error_data,geo_level_code,program_code,seasonally_adj,time_slot_id,time_slot_name,time
ACOMPLETIONS,263,SINGLE,no,MW,RESCONST,yes,613,Jan2001,2001-01
ACOMPLETIONS,319,TOTAL,no,MW,RESCONST,yes,613,Jan2001,2001-01
ACOMPLETIONS,7,E_SINGLE,yes,MW,RESCONST,yes,613,Jan2001,2001-01
ACOMPLETIONS,7,E_TOTAL,yes,MW,RESCONST,yes,613,Jan2001,2001-01
APERMITS,249,SINGLE,no,MW,RESCONST,yes,613,Jan2001,2001-01
APERMITS,330,TOTAL,no,MW,RESCONST,yes,613,Jan2001,2001-01
ASTARTS,276,SINGLE,no,MW,RESCONST,yes,613,Jan2001,2001-01
ASTARTS,318,TOTAL,no,MW,RESCONST,yes,613,Jan2001,2001-01
ASTARTS,6,E_SINGLE,yes,MW,RESCONST,yes,613,Jan2001,2001-01
ASTARTS,7,E_TOTAL,yes,MW,RESCONST,yes,613,Jan2001,2001-01
AUTHNOTSTD,18.3,TOTAL,no,MW,RESCONST,no,613,Jan2001,2001-01
AUTHNOTSTD,12.4,SINGLE,no,MW,RESCONST,no,613,Jan2001,2001-01
AUTHNOTSTD,11,E_SINGLE,yes,MW,RESCONST,no,613,Jan2001,2001-01
AUTHNOTSTD,10,E_TOTAL,yes,MW,RESCONST,no,613,Jan2001,2001-01
AUTHNOTSTD,15,SINGLE,no,MW,RESCONST,yes,613,Jan2001,2001-01
AUTHNOTSTD,20,TOTAL,no,MW,RESCONST,yes,613,Jan2001,2001-01
COMPLETIONS,20.9,TOTAL,no,MW,RESCONST,no,613,Jan2001,2001-01
COMPLETIONS,17.1,SINGLE,no,MW,RESCONST,no,613,Jan2001,2001-01
COMPLETIONS,7,E_TOTAL,yes,MW,RESCONST,no,613,Jan2001,2001-01
COMPLETIONS,7,E_SINGLE,yes,MW,RESCONST,no,613,Jan2001,2001-01
PERMITS,13.0,SINGLE,no,MW,RESCONST,no,613,Jan2001,2001-01
PERMITS,17.8,TOTAL,no,MW,RESCONST,no,613,Jan2001,2001-01
STARTS,13.9,SINGLE,no,MW,RESCONST,no,613,Jan2001,2001-01
STARTS,16.8,TOTAL,no,MW,RESCONST,no,613,Jan2001,2001-01
STARTS,6,E_SINGLE,yes,MW,RESCONST,no,613,Jan2001,2001-01
STARTS,7,E_TOTAL,yes,MW,RESCONST,no,613,Jan2001,2001-01
UNDERCONST,134.6,SINGLE,no,MW,RESCONST,no,613,Jan2001,2001-01
